Resource,Dataset,Description,Category,Attribute,Views,Archived
Dephosphorylation Database (DEPOD),Substrates of Phosphatases,Phosphatase-substrate interactions manually curated from literature and databases of protein annotations or protein interactions,physical interactions,phosphatase,5543,FALSE
DrugBank,Drug Targets,Sets of proteins targeted by drugs by manual literature curation,physical interactions,drug,119120,FALSE
Encyclopedia of DNA Elements (ENCODE),Histone Modification Site Profiles,Histone site modification profiles for cell lines from ENCODE,genomics,histone modification site profile,10798,FALSE
Encyclopedia of DNA Elements (ENCODE),Transcription Factor Binding Site Profiles,Transcription factor binding site profiles for cell lines,genomics,transcription factor binding site profile,24381,FALSE
Encyclopedia of DNA Elements (ENCODE),Transcription Factor Targets,Target genes of transcription factors from transcription factor binding site profiles,genomics,transcription factor,152744,FALSE
ESCAPE,Omics Signatures of Genes and Proteins for Stem Cells,Sets of target genes of transcription factors from published ChIP-chip ChIP-seq and other transcription factor binding site profiling studies;sets of differentially expressed genes following perturbation of a protein from gene expression data in GEO; sets of interacting proteins from high- and low-throughput protein-protein interaction studies; sets of targets of microRNAs from public databases computationally predicted or experimentally verified,transcriptomics,PubMedID,7022,FALSE
Genetic Association Database (GAD),Gene-Disease Associations,Gene-disease associations curated from genetic association studies,disease or phenotype associations,disease,45396,FALSE
Genetic Association Database (GAD),High Level Gene-Disease Associations,Gene-disease associations curated from genetic association studies,disease or phenotype associations,disease,9514,FALSE
Genomics of Drug Sensitivity in Cancer (GDSC),Cell Line Gene Expression Profiles,mRNA microarray expression profiles for cancer cell lines,transcriptomics,cell line,21317,FALSE
Gene Reference Into Function (GeneRIF),Biological Term Annotations,Statements describing functions of genes distilled from biomedical publications,structural or functional annotations,biological term,38260,FALSE
GeneSigDB,Published Gene Signatures,Gene signatures reported in the literature that were derived from analysis of transcriptomic or proteomic data,transcriptomics,PubMedID,9969,FALSE
Gene Expression Omnibus (GEO),Signatures of Differentially Expressed Genes for Diseases,mRNA expression profiles for cell lines or tissues following disease perturbation,transcriptomics,disease perturbation,18110,FALSE
Gene Expression Omnibus (GEO),Signatures of Differentially Expressed Genes for Gene Perturbations,mRNA expression profiles for cell lines or tissues following genetic perturbation (knockdown knockout over-expression mutation),transcriptomics,gene perturbation,10904,FALSE
Gene Expression Omnibus (GEO),Signatures of Differentially Expressed Genes for Kinase Perturbations,mRNA expression profiles for cell lines or tissues following kinase perturbation (inhibition activation knockdown knockout over-expression mutation),transcriptomics,kinase perturbation,10221,FALSE
Gene Expression Omnibus (GEO),Signatures of Differentially Expressed Genes for Small Molecules,mRNA expression profiles for cell lines or tissues following small molecule perturbation,transcriptomics,small molecule perturbation,8817,FALSE
Gene Expression Omnibus (GEO),Signatures of Differentially Expressed Genes for Transcription Factor Perturbations,mRNA expression profiles for cell lines or tissues following transcription factor perturbation (inhibition activation knockdown knockout over-expression mutation),transcriptomics,transcription factor perturbation,14623,FALSE
Gene Expression Omnibus (GEO),Signatures of Differentially Expressed Genes for Viral Infections,mRNA expression profiles for cell lines or tissues following viral infection,transcriptomics,virus perturbation,10599,FALSE
Genotype Tissue Expression (GTEx),Tissue Sample Gene Expression Profiles,RNA-seq gene expression profiles for tissue samples from GTEx,transcriptomics,tissue sample,15278,FALSE
Guide to Pharmacology,Chemical Ligands of Receptors,Chemical ligand-receptor interactions curated by experts,physical interactions,ligand (chemical),31564,FALSE
Guide to Pharmacology,Protein Ligands of Receptors,Protein ligand-receptor interactions curated by experts,physical interactions,ligand (protein),4165,FALSE
GWASdb,SNP-Disease Associations,SNP-disease association p-values curated from published GWAS,disease or phenotype associations,disease,33894,FALSE
GWASdb,SNP-Phenotype Associations,SNP-phenotype association p-values curated from published GWAS,disease or phenotype associations,phenotype,11955,FALSE
Heiser et al. PNAS 2011,Cell Line Gene Expression Profiles,mRNA expression profiles for breast cancer cell lines measured by microarray,transcriptomics,cell line,7207,FALSE
Human Metabolome Database,Metabolites of Enzymes,Biomolecular interactions between metabolites and proteins such as processing enzymes curated from literature,physical interactions,metabolite,15374,FALSE
Human Protein Atlas (HPA),Cell Line Gene Expression Profiles,RNA-seq gene expression profiles for cell lines from HPA,transcriptomics,cell line,14693,FALSE
